id,fromLng,fromLat,id2,toLng,toLat,number,distance
3321,153.505004883,-28.1644001007,3361,151.177001953125,-33.94609832763672,1,422
3364,116.58499908447266,40.080101013183594,3406,121.80500030517578,31.143400192260742,1,683
3448,-71.00520325,42.36429977,3462,-112.01200103759766,33.43429946899414,1,2295
3448,-71.00520325,42.36429977,3520,-77.037697,38.8521,1,398
3448,-71.00520325,42.36429977,3797,-73.77890015,40.63980103,1,186
3448,-71.00520325,42.36429977,3820,-78.73220062,42.94049835,1,394
3458,-94.713898,39.2976,3717,-87.89659881591797,42.947200775146484,1,435
3462,-112.01200103759766,33.43429946899414,3469,-122.375,37.61899948120117,1,649
3462,-112.01200103759766,33.43429946899414,3636,-110.94100189208984,32.1161003112793,1,110
3462,-112.01200103759766,33.43429946899414,3720,-122.5979996,45.58869934,1,1009
3469,-122.375,37.61899948120117,3577,-122.308998,47.449001,1,679
3469,-122.375,37.61899948120117,3682,-84.428101,33.6367,3,2134
3520,-77.037697,38.8521,3797,-73.77890015,40.63980103,2,212
3536,-111.97799682617188,40.78839874267578,3682,-84.428101,33.6367,1,1585
3536,-111.97799682617188,40.78839874267578,3720,-122.5979996,45.58869934,1,628
3536,-111.97799682617188,40.78839874267578,3797,-73.77890015,40.63980103,1,1983
3576,-80.29060363769531,25.79319953918457,8590,-0.127778,51.508056,1,4428
3670,-97.038002,32.896801,3714,-77.45580292,38.94449997,1,1169
3673,-97.6698989868164,30.194499969482422,3682,-84.428101,33.6367,1,811
3682,-84.428101,33.6367,3950,-81.058098,29.179899,1,366
3797,-73.77890015,40.63980103,3878,-81.30899810791016,28.429399490356445,1,945
3849,-76.668297,39.1754,3858,-93.221802,44.882,1,934
3885,100.74700164794922,13.681099891662598,3940,115.16699981689,-8.7481698989868,1,1837
3940,115.16699981689,-8.7481698989868,8401,116.276675,-8.757322,1,75
7507,113.558911,22.197075,8058,114.152153,22.289372,1,38
